Year,Malayan Tin Production,British GDP
1870,2.3,1016
1871,5.6,1080
1872,6.2,1068
1873,4.9,1060
1874,4.3,1124
1875,8.6,1137
1876,9.7,1150
1877,3.1,1163
1878,8,1169
1879,11.2,1145
1880,11.9,1241
1881,11.6,1238
1882,11.9,1258
1883,17.2,1315
1884,17.8,1301
1885,17.6,1292
1886,20,1301
1887,24.4,1363
1888,24.2,1386
1889,26.9,1411
1890,27.6,1426
1891,32.9,1479
1892,34.9,1448
1893,40.6,1439
1894,48.4,1519
1895,50.4,1564
1896,49.3,1640
1897,44.8,1642
1898,41.8,1740
1899,39.6,1838
1900,43.8,1806
1901,48.2,1880
1902,48,1888
1903,51.7,1889
1904,52.6,1902
1905,51.8,1934
1906,49.5,1979
1907,49.3,1981
1908,51.7,1909
1909,51.6,1979
1910,46.7,2050
1911,48.3,2097
1912,50.8,2089
1913,52.2,2201